Timestamp,Direction,Status,CRC,Source,Destination,Command,Data,,,,,,
2022-02-25T13:07:50.519,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,Response,
2022-02-25T13:07:50.538,RX,Valid,0x15c3,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x00,0x00
2022-02-25T13:07:51.520,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:07:51.532,RX,Valid,0x15c3,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x00,0x00
2022-02-25T13:07:52.516,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:07:52.521,RX,Valid,0x15c3,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x00,0x00
2022-02-25T13:07:53.535,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:07:53.545,RX,Valid,0x15c3,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x00,0x00
2022-02-25T13:07:54.531,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:07:54.537,RX,Valid,0x15c3,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x00,0x00
2022-02-25T13:07:55.531,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:07:56.523,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:07:56.536,RX,Valid,0xfadc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x00,0xf0
2022-02-25T13:07:57.520,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:07:57.528,RX,Valid,0x895c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x03,0x48
2022-02-25T13:07:58.521,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:07:58.536,RX,Valid,0x811c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x03,0x0c
2022-02-25T13:07:59.522,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:07:59.544,RX,Valid,0xa01c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x02,0x1c
2022-02-25T13:08:00.523,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:00.535,RX,Valid,0xa85c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x02,0x58
2022-02-25T13:08:01.532,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:01.544,RX,Valid,0xb09c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x02,0x94
2022-02-25T13:08:02.531,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:02.536,RX,Valid,0x895c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x03,0x48
2022-02-25T13:08:03.527,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:03.543,RX,Valid,0x99dc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x03,0xc0
2022-02-25T13:08:04.524,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:04.535,RX,Valid,0x6e03,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x03,0xfc
2022-02-25T13:08:05.520,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:06.517,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:06.534,RX,Valid,0x6e5c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x04,0x38
2022-02-25T13:08:07.521,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:07.528,RX,Valid,0xe714,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x04,0x74
2022-02-25T13:08:08.523,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:08.535,RX,Valid,0x7edc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x04,0xb0
2022-02-25T13:08:09.526,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:09.542,RX,Valid,0xe5a5,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x04,0xec
2022-02-25T13:08:10.517,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:10.534,RX,Valid,0x7edc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x04,0xb0
2022-02-25T13:08:11.530,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:11.542,RX,Valid,0xe5a5,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x04,0xec
2022-02-25T13:08:12.524,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:12.533,RX,Valid,0x4f5c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0x28
2022-02-25T13:08:13.521,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:13.527,RX,Valid,0x4f5c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0x28
2022-02-25T13:08:14.522,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:14.533,RX,Valid,0x4f5c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0x28
2022-02-25T13:08:15.535,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:15.557,RX,Valid,0x4f5c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0x28
2022-02-25T13:08:16.534,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:17.518,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:17.524,RX,Valid,0xc614,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0x64
2022-02-25T13:08:18.530,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:18.548,RX,Valid,0xc614,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0x64
2022-02-25T13:08:19.518,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:19.524,RX,Valid,0x5fdc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0xa0
2022-02-25T13:08:20.529,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:20.548,RX,Valid,0x5fdc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0xa0
2022-02-25T13:08:21.528,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:21.540,RX,Valid,0xc614,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0x64
2022-02-25T13:08:22.534,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:22.548,RX,Valid,0x5fdc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0xa0
2022-02-25T13:08:23.523,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:24.531,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:25.524,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:25.539,RX,Valid,0xe0c7,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0xdc
2022-02-25T13:08:26.519,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:26.532,RX,Valid,0xe0c7,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0xdc
2022-02-25T13:08:27.528,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:27.539,RX,Valid,0x5fdc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0xa0
2022-02-25T13:08:28.525,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:28.531,RX,Valid,0xe0c7,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0xdc
2022-02-25T13:08:29.525,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:29.538,RX,Valid,0x5fdc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0xa0
2022-02-25T13:08:30.517,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:08:30.530,RX,Valid,0x5fdc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x05,0xa0
2022-02-25T13:08:31.522,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
